"id","supplier_name","supplier_contact","supplier_email","supplier_address","supplier_description","created_at","updated_at","deleted_at"
"110","Alabaster Lighting / KDK","8781185208","tidakadaemail@email.com","Kuta Central Park Valet 1 No, Jl. Patih Jelantik No.9, Kuta, Kabupaten Badung, Bali 80361			 			","Term Of Payment : Cash Payment 

","2022-05-28 16:31:24","2022-05-28 16:31:24",NULL
"111","UD TUJUH DENPASAR ","361223015","tidakadaemail@email.com","Jl. Nakula No.15a, Dangin Puri Kauh,			","Cash Payment
","2022-05-28 16:32:09","2022-05-28 16:32:09",NULL
"112","Ud. Jasa Karya","361420242","tidakadaemail@email.com","Cokroaminoto St No.49, Pemecutan Kaja Denpasar Utara","Cash Payment 
","2022-05-28 16:32:53","2022-05-28 16:32:53",NULL
"113","MULTI DAYA LAMPU","361245255","tidakadaemail@email.com","Jl. Teuku Umar, Dauh Puri Kauh  Denpasar Barat","Term Of Payment : Cash Payment 

","2022-05-28 16:34:24","2022-05-28 16:34:24",NULL
"114","FOSHAN JIANTO IMPORT AND EXPORT TRADING CO.,LTD","8613929937783","jinzao001@yahoo.com","No.9-8901 8th Floor. North Gate, Building B Of Lelong International Creative City No 62 DongchongLongjiang Town, Shunde, Foshan Guangdong China","Term Of Payment			: 30% Deposit			
			  70% Balance Payment Before Delivery		
Remark	:		
-	EXW China 		
			
	
","2022-06-10 17:49:24","2022-06-10 17:49:24",NULL
"115","Depo Bangunan","3618475888","tidakadaemail@email.com","Jl. Teuku Umar Barat No.388, Padangsambian Klod, Ke. Denpasar Bar., Kota Denpasar, Bali 80117			 			","Term Of Payment			: Cash Payment
			
Remark	:		
- Ready Denpasar			
- Franco Denpasar			
","2022-06-10 17:51:00","2022-06-10 17:51:00",NULL
"116","Mitra 10","361724888","tidakadaemail@email.com"," Jl. Bypass Ngurah Rai No.840-842, Pedungan, Denpasar Selatan, Kota Denpasar, Bali 80221			 			","Term Of Payment			: Cash Payment
			
Remark	:		
- Ready Denpasar			
- Harga Include Diskon 15%			
- Franco Denpasar			
			
","2022-06-10 17:51:38","2022-06-10 17:51:38",NULL
"117","ACE HARWARE ","361222644","tidakadaemail@email.com","Jl. Teuku Umar No.93, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113			 			","Term Of Payment			: Cash Payment
			
Remark	:		
- Ready Denpasar			
- Franco Denpasar			
","2022-06-10 17:52:17","2022-06-10 17:52:17",NULL
"118","PRAIM CO., Ltd","827046997788","sod6517@naver.com","627 Anggogaero, Namdong-gu, Incheon 627 Anggogaero, Namdong-gu, Incheon","Term Of Payment : T.T In Advance

","2022-06-10 17:53:20","2022-06-10 17:53:20",NULL
"119","PT Winterhalter Indonesia PMA","2122260500","theresia.lina@winterhalter.co.id","Jl. KH Hasyim Ashari NO 79A Cipondoh Tangerang 15119","Term Of Payment			: Cash Payment 
			
Remark	:		
-	Ready Tangerang		
-	Franco Tangerang		
","2022-06-10 17:54:16","2022-06-10 17:54:16",NULL
"120","Guangzhou Sunrry Kitchen Equipment","862023889550","seamy@sunrry.com","610, Block 2, Tian An Hi-tech Ecological Park 555, Panyu Avenue North, Panyu District Guangzhou, China 511400","Term Of Payment			: 30% Down Payment, 70% Balance Before Shipment 									
												
Remark		:										
- EXWORK Guangzhou												
- Delivery Time : 15-20 Work Days After Deposit												
- Logo ""SUN EAST"" Laser												
- Free Sparepart 2%												
- Body Use Stainless  Steel Thickness1.2mm												
- Finishing Body Instruction Used English Languange												
","2022-06-10 17:55:27","2022-06-10 17:55:27",NULL
"121","PT Andika Jaya Dewata ","6281999188969","tidakadaemail@email.com","Jl. Teuku Umar Barat No.368, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80117			 			","Term Of Payment			: Cash Payment							 Diskon  		 Rp152,688 
										 Sub Total 		 Rp327,312 
Remark	:									 Tax  		 Rp36,004 
- Ready Denpasar										 Grand Total 		 Rp363,316 
- Franco Denpasar												
","2022-06-10 17:56:48","2022-06-10 17:56:48",NULL
"122","BRANDON INTERNATIONAL LIMITED","0","brlanchan@brandon.com.hk","Room 2305A World-Wide House Voeux Road Central Hongkong","Term Of Payment			 : Full Payment 						 Total  			 480.00 
												
												
Remark	:											
- Shipment By Airfright												
","2022-06-10 17:57:52","2022-06-10 17:57:52",NULL
"123","Atria Furniture Bali","6289519575876","tidakadaemail@email.com","JL. Bypass Ngurah Rai, No. 840 –842 Denpasar Selatan","Term Of Payment			: Cash Payment										
													
Remark	:												
-Ready Denpasar													
-Franco Denpasar													
","2022-06-10 17:59:10","2022-06-10 17:59:10",NULL
"124","CV.VELANDOS JAYA MANDIRI","81311387911","tidakadaemail@email.com","Jl. Duren VI Puri Harmoni 10  Blok D6 No.10 Kab.Bogor","Term Of Payment			: Cash Payment 									
												
Remark		:										
- Ready Jakarta												
- Franco Denpasar												
","2022-06-10 18:00:49","2022-06-10 18:00:49",NULL
"125","Cv Artic","361221597","tidakadaemail@email.com","Jalan Turi No 14 Kesiman Denpasar","Term Of Payment			: Credit 2 Weeks										
													
													
													
Remark		:											
-Ready Denpasar													
-Include PPN 11%													
","2022-06-10 18:01:18","2022-06-10 18:01:18",NULL
"126","Anugerah Dewata","87859667001","tidakadaemail@email.com","Jl. Sedap Malam Gg. Ratna Selatan No.107A Kesiman, Kec. Denpasar Timur","Term Of Payment			: Cash Payment							 Disc 		 Rp300,000 
										 Grand Total 		 Rp3,200,000 
Remark	:											
- Pekerjaan Berfungsi Dengan Baik												
- Garansi Produk 1 Tahun												
- Garansi Service 1 Bulan												
","2022-06-10 18:02:11","2022-06-10 18:02:11",NULL
"127","Anugerah Dewata","87859667001","tidakadaemail@email.com","Jl. Sedap Malam Gg. Ratna Selatan No.107A Kesiman, Kec. Denpasar Timur","Term Of Payment			: Cash Payment							 Disc 		 Rp300,000 
										 Grand Total 		 Rp3,200,000 
Remark	:											
- Pekerjaan Berfungsi Dengan Baik												
- Garansi Produk 1 Tahun												
- Garansi Service 1 Bulan												
","2022-06-10 18:02:11","2022-06-10 18:02:11",NULL
"128","Home Master ","81901405572","tidakadaemail@email.com","Sentra Pergudangan Elang Laut Tahap 1 Blok E1/36,Pik, Jakarta Utara 14460","Term Of Payment			: Cash Payment							 Disc 		 Rp120,000 
										 Grand Total 		 Rp3,780,000 
												
Remark	:											
- Ready Jakarta												
- Franco Jakarta												
","2022-06-10 18:02:59","2022-06-10 18:02:59",NULL
